Laptop,Status,Brand,Country_code,Model,CPU,RAM,Storage,Storage type,Screen,Touch,Price
"Gigabyte AORUS 17G KD-72ES325SD Intel Core i7-11800H/16GB/512GB SSD/RTX 3060/17.3""",New,Gigabyte,MC,Aorus,Intel Core i7,16,512,SSD,17.3,No,1552.82
"Gigabyte AORUS 17H BXF-74ES554SH Intel Core i7-13700H/16GB/1TB SSD/RTX 4080/17.3""",New,Gigabyte,MD,Aorus,Intel Core i7,16,1000,SSD,17.3,No,2532.38
"Gigabyte AORUS 5 SE4-73PT213SH Intel Core i7-12700H/16GB/512GB SSD/RTX 3070Ti/15.6"" (PT)",New,Gigabyte,ME,Aorus,Intel Core i7,16,512,SSD,15.6,No,1878.04
"Gigabyte G7 GD-51PT123SD Intel Core i5-11400H/16GB/512GB SSD/RTX 3050/17.3"" (PT)",New,Gigabyte,MG,G7,Intel Core i5,16,512,SSD,17.3,No,1376.02
"Gigabyte U4 UD-50ES823SO Intel Core i5-1155G7/16GB/512GB SSD/14""",Refurbished,Gigabyte,MH,U4,Intel Core i5,16,512,SSD,14,No,899
"HP 15-DW3009NS Intel Core i5-1135G7/8GB/256GB SSD/MX350/15.6""",New,HP,MK,G7,Intel Core i5,8,256,SSD,15.6,No,684.93
"HP 15S-EQ1133NS AMD 3020e/4GB/256GB SSD/15.6""",New,HP,ML,15S,AMD 3020e,4,256,SSD,15.6,No,355.01
"HP 15S-EQ1142NS AMD 3020e/4GB/128GB SSD/15.6""",New,HP,MM,15S,AMD 3020e,4,128,SSD,15.6,No,367.34
"HP 15S-EQ1157NS AMD Athlon Silver 3050U/8GB/256GB SSD/15.6""",New,HP,MN,15S,AMD Athlon,8,256,SSD,15.6,No,459.99
"HP 15S-EQ1161NS AMD Athlon Silver 3050U/8GB/256GB SSD/15.6""",New,HP,MO,15S,AMD Athlon,8,256,SSD,15.6,No,377
"HP 15S-EQ2094NS AMD Ryzen 5 5500U/8GB/256GB SSD/15.6""",New,HP,MP,15S,AMD Ryzen 5,8,256,SSD,15.6,No,478.45
"HP 15S-EQ2098NS AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",New,HP,MQ,15S,AMD Ryzen 3,8,256,SSD,15.6,No,581.01
"HP 15S-EQ2099NS AMD Ryzen 3 5300U/8GB/512GB SSD/15.6""",New,HP,MR,15S,AMD Ryzen 3,8,512,SSD,15.6,No,593.11
"HP 15S-EQ2100NS AMD Ryzen 3 5300U/8GB/512GB SSD/15.6""",New,HP,MS,15S,AMD Ryzen 3,8,512,SSD,15.6,No,586.66
"HP 15S-EQ2102NS AMD Ryzen 5 5500U/8GB/256GB SSD/15.6""",New,HP,MT,15S,AMD Ryzen 5,8,256,SSD,15.6,No,594.22
"HP 15S-EQ2103NS AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,HP,MU,15S,AMD Ryzen 5,8,512,SSD,15.6,No,709.65
"HP 15S-EQ2104NS AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,HP,MV,15S,AMD Ryzen 5,8,512,SSD,15.6,No,554
"HP 15S-EQ2105NS AMD Ryzen 7 5700U/12GB/512GB SSD/15.6""",New,HP,MW,15S,AMD Ryzen 7,12,512,SSD,15.6,No,716.14
"HP 15S-EQ2106NS AMD Ryzen 7 5700U/12GB/512GB SSD/15.6""",New,HP,MX,15S,AMD Ryzen 7,12,512,SSD,15.6,No,673.37
"HP 15S-EQ2113NS AMD Ryzen 7 5700U/8GB/256GB SSD/15.6""",New,HP,MY,15S,AMD Ryzen 7,8,256,SSD,15.6,No,600.57
"HP 15S-EQ2114NS AMD Ryzen 7 5700U/8GB/512GB SSD/15.6""",New,HP,MZ,15S,AMD Ryzen 7,8,512,SSD,15.6,No,614
"HP 15S-EQ2125NS AMD Ryzen 7 5700U/8GB/512GB SSD/15.6""",New,HP,NA,15S,AMD Ryzen 7,8,512,SSD,15.6,No,601.33
